Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location,Longitude,Latitude
2100243,2021,12/06/2021,Stratford,190 WILBAR DRIVE,203350.00,375000.00,0.542266667,Residential,Single Family,,,,POINT (-73.140977031 41.228548019),-73.140977031,41.228548019
212142,2021,08/23/2022,Waterbury,107 CHESTNUT AVE,26810.00,160000.00,0.1675,Residential,Three Family,25 - Other,PRIVATE SALE,,POINT (-73.049224025 41.562733996),-73.049224025,41.562733996
210284,2021,06/27/2022,Tolland,193 GOOSE LANE,10400.00,2000.00,5.2,Vacant Land,,24 - Plottage,SOLD BY LAND TRUST TO ABUTTING OWNER,,POINT (-72.349908758 41.847306157),-72.349908758,41.847306157
21184,2021,04/11/2022,Stafford,17 PARK ST,127120.00,300000.00,0.4237,Residential,Three Family,,,,POINT (-72.314810963 41.952460625),-72.314810963,41.952460625
21542,2021,08/09/2022,Newtown,36 AUNT PARK LANE,168620.00,390000.00,0.4323,Residential,Single Family,,,,POINT (-73.311671975 41.346639018),-73.311671975,41.346639018
21345,2021,08/18/2022,Plainfield,52 BASLEY RD,89790.00,185500.00,0.484,Residential,Single Family,,,,POINT (-71.904533995 41.757607),-71.904533995,41.757607
210010,2021,10/04/2021,Southington,58 SOUTH END RD,169940.00,289000.00,0.588,Residential,Single Family,,,,POINT (-72.870335017 41.581009981),-72.870335017,41.581009981
2100341,2021,09/26/2022,Seymour,88 MAPLE ST,115920.00,248000.00,0.4674,Residential,Single Family,,,,POINT (-73.069499011 41.385866996),-73.069499011,41.385866996
21216,2021,03/10/2022,Ridgefield,50 BOBBYS CT,418810.00,855000.00,0.4898,Residential,Single Family,07 - Change in Property,,,POINT (-73.455015008 41.303338986),-73.455015008,41.303338986
2132168,2021,05/06/2022,North Haven,108 FROST DR,141670.00,235000.00,0.6028,Residential,Single Family,25 - Other,EXECUTORS DEED,,POINT (-72.860368012 41.358381981),-72.860368012,41.358381981
21163,2021,12/13/2021,Newtown,24 OLD FARM HILL ROAD,340080.00,580000.00,0.5863,Residential,Single Family,,,,POINT (-73.309186992 41.435041987),-73.309186992,41.435041987
210115,2021,05/03/2022,North Branford,12 RIDGE TOP LN,311600.00,620000.00,0.5025,Residential,Single Family,,,,POINT (-72.745685974 41.354972013),-72.745685974,41.354972013
21595,2021,06/03/2022,Orange,495 DERBY MILFORD RD,220600.00,416000.00,0.5302,Residential,Single Family,,,,POINT (-73.050760009 41.272877013),-73.050760009,41.272877013
211494,2021,05/17/2022,Waterbury,106 PIERPONT RD #7,64940.00,135000.00,0.481,Residential,Condo,,,,POINT (-72.978943024 41.54473499),-72.978943024,41.54473499
210092,2021,10/27/2021,New Haven,420 CENTRAL AV,211750.00,465000.00,0.4553,Residential,Two Family,,,,POINT (-72.962335038 41.320767981),-72.962335038,41.320767981
210012,2021,10/26/2021,Prospect,29 TAMARACK CT,8750.00,191125.00,0.045781557,Residential,Condo,07 - Change in Property,ALSO IS AN AFFORDABLE UNIT PER DECLARATION,,POINT (-72.976185461 41.53007155),-72.976185461,41.53007155
2100031,2021,10/14/2021,New Milford,915 CANDLEWOOD LK S,428990.00,730000.00,0.587657534,Residential,Single Family,,SALES RATIO,,POINT (-73.441289977 41.496342994),-73.441289977,41.496342994
210027,2021,11/15/2021,Somers,522 TURNPIKE RD,72700.00,40000.00,1.8175,Vacant Land,,,,,POINT (-72.446801145 42.015090258),-72.446801145,42.015090258
2100589,2021,07/29/2022,New Milford,12 CANTERBURY CT,89810.00,165000.00,0.54430303,Residential,Condo,,SALES RATIO,,POINT (-73.417836993 41.588292011),-73.417836993,41.588292011
2100020,2021,10/12/2021,New Milford,99 CHAPIN RD,215070.00,400000.00,0.537675,Residential,Single Family,,SALES RATIO,,POINT (-73.360460016 41.613997003),-73.360460016,41.613997003
210699,2021,04/08/2022,New Haven,148 HARPER AV,159985.00,300000.00,0.5332,Residential,Single Family,,,,POINT (-72.971764008 41.339254017),-72.971764008,41.339254017
21214,2021,08/09/2022,Oxford,10 STILL ROAD,164100.00,355000.00,0.4622,Residential,Single Family,,,,POINT (-73.139732989 41.412987984),-73.139732989,41.412987984
210078,2021,10/25/2021,New Haven,53 WARWICK ST,151480.00,300000.00,0.5049,Residential,Three Family,,,,POINT (-72.888721979 41.297288007),-72.888721979,41.297288007
210122,2021,02/14/2022,Suffield,917 EAST ST N,155960.00,270000.00,0.5776,Residential,Single Family,,,,POINT (-72.61529097 42.002660992),-72.61529097,42.002660992
210631,2021,05/26/2022,Norwich,321 WASHINGTON ST,97900.00,250000.00,0.3916,Residential,Single Family,,,,POINT (-72.086422971 41.54326602),-72.086422971,41.54326602
